Customer_ID,Age,Gender,Region,Membership_Level,Tenure_Months,Monthly_Income_JD,Monthly_Spend_JD,Total_Orders,Average_Order_Value_JD,Days_Since_Last_Purchase,Website_Visits_Last_30_Days,Email_Engagement_Rate,Discount_Usage_Rate,Satisfaction_Score,Support_Tickets_Last_6_Months,Complaint_Flag,Last_Campaign_Response,Payment_Method
C20229,44,Female,Irbid,Basic,18,2004.97,71.63,9,143.4,41,17,0.175,0.52,3,0,0,0,Cash
C20230,26,Female,Amman,Gold,19,1728.16,360.17,11,500.0,109,16,0.73,0.308,5,2,0,1,Digital Wallet
C20231,54,Male,Amman,Platinum,47,2242.1,360.9,23,500.0,42,24,0.701,0.388,2,1,0,1,Card
C20232,26,Male,Amman,Basic,19,1768.8,107.57,9,237.78,73,11,0.504,0.686,3,2,0,1,Card
C20233,58,Male,Amman,Basic,24,1235.31,277.88,7,500.0,15,19,0.12,0.132,3,1,0,0,Cash
C20234,59,Female,Amman,Platinum,57,2582.94,294.84,21,500.0,1,18,0.4165,0.774,3,1,0,0,Card
C20235,49,Male,Amman,Platinum,19,2405.19,227.92,11,351.27,18,20,0.166,0.615,5,0,0,0,Bank Transfer
C20236,43,Female,Amman,Basic,44,2387.25,193.92,21,426.99,59,16,0.418,0.311,3,2,0,0,Card
C20237,23,Male,Irbid,Gold,38,350.0,186.07,14,486.9,2,21,0.389,0.915,2,2,0,0,Card
C20238,29,Male,Amman,Gold,28,2230.0,355.78,18,500.0,6,25,0.66,0.41,4,2,0,0,Cash
C20239,57,Male,Balqa,Silver,8,2015.49,170.06,3,466.87,12,9,0.512,0.279,2,0,1,0,Card
C20240,52,Male,Zarqa,Gold,69,2638.61,234.35,30,500.0,0,16,0.106,0.683,5,0,0,0,Card
C20241,24,Female,Balqa,Basic,84,350.0,194.27,30,500.0,86,17,0.587,0.845,4,2,0,0,Cash
C20242,46,Female,Irbid,Basic,29,1848.59,166.54,14,356.13,38,18,0.146,0.759,5,2,0,0,Card
C20243,52,Male,Balqa,Basic,45,1421.45,117.05,19,315.9,64,13,0.228,0.341,4,5,1,0,Cash
C20244,34,Female,Amman,Silver,4,1617.23,87.06,3,115.73,60,16,0.517,0.243,3,2,0,1,Digital Wallet
C20245,56,Female,Amman,Silver,41,1889.44,131.62,24,192.42,27,8,0.125,0.605,3,6,1,0,Cash
C20246,44,Female,Amman,Basic,25,1769.19,238.53,11,492.17,67,13,0.728,0.138,3,0,0,0,Card
C20247,54,Male,Zarqa,Basic,84,1334.37,126.36,39,238.6,5,13,0.458,0.778,4,1,0,1,Digital Wallet
C20248,68,Male,Zarqa,Basic,6,1390.16,116.0,4,173.88,59,12,0.153,0.506,4,2,0,1,Card
C20249,59,Male,Irbid,Gold,30,1923.49,216.66,12,500.0,20,25,0.095,0.424,5,0,0,0,Digital Wallet
C20250,62,Female,Amman,Platinum,30,3066.76,180.52,17,500.0,12,27,0.111,0.348,4,1,0,0,Digital Wallet
C20251,42,Female,Irbid,Basic,84,2091.26,106.4,35,265.58,31,12,0.268,0.345,5,0,0,0,Bank Transfer
C20252,52,Male,Irbid,Basic,13,1919.47,190.08,7,337.35,0,10,0.381,0.679,5,3,1,1,Card
C20253,33,Female,Amman,Basic,41,758.82,238.67,21,428.33,2,15,0.583,0.711,3,0,0,0,Digital Wallet
C20254,34,Female,Other,Platinum,27,1575.81,352.0,18,479.28,18,15,0.13,0.475,4,2,0,0,Card
C20255,48,Female,Irbid,Gold,40,2095.84,141.69,16,362.16,3,19,0.589,0.478,3,1,0,1,Digital Wallet
C20256,61,Female,Balqa,Silver,80,3165.49,156.37,32,402.11,27,10,0.419,0.627,4,1,0,1,Cash
C20257,67,Male,Amman,Gold,67,1507.04,236.96,30,500.0,76,22,0.157,0.38,3,2,0,0,Digital Wallet
C20258,41,Female,Zarqa,Basic,43,1451.32,180.52,22,346.58,37,16,0.487,0.081,4,1,0,0,Card
C20259,68,Male,Amman,Silver,75,2577.57,145.32,34,341.73,46,12,0.129,0.415,5,0,0,0,Digital Wallet
C20260,51,Female,Amman,Silver,48,1971.06,155.04,12,500.0,24,14,0.817,0.313,3,3,1,0,Card
C20261,55,Female,Zarqa,Platinum,49,1720.58,255.87,18,500.0,16,12,0.438,0.522,5,0,0,1,Card
C20262,39,Female,Irbid,Silver,24,1580.21,177.77,16,270.69,11,13,0.364,0.802,3,0,0,1,Digital Wallet
C20263,44,Male,Balqa,Basic,23,1924.39,89.19,9,204.05,21,12,0.538,0.156,3,3,1,0,Digital Wallet
C20264,59,Female,Amman,Silver,15,2235.9,115.64,7,246.12,237,16,0.52,0.357,4,2,0,1,Card
C20265,66,Male,Irbid,Gold,29,3069.18,197.47,13,404.69,12,9,0.345,0.79,3,1,0,0,Cash
C20266,30,Male,Irbid,Basic,24,962.47,102.2,14,172.48,81,19,0.415,0.424,3,2,0,1,Card
C20267,41,Male,Amman,Silver,18,2225.77,249.22,15,260.49,24,18,0.093,0.078,4,25,0,1,Digital Wallet
C20268,63,Female,Amman,Basic,11,1935.65,107.97,1,500.0,92,9,0.156,0.282,4,3,1,0,Card
C20269,61,Female,Amman,Silver,48,2325.62,167.0,21,356.34,67,17,0.668,0.759,4,1,0,1,Bank Transfer
C20270,23,Male,Zarqa,Basic,18,1615.13,134.08,7,356.7,31,11,0.071,0.581,4,1,0,0,Card
C20271,51,Female,Balqa,Gold,84,2172.62,203.38,33,430.06,103,14,0.596,0.438,3,1,0,1,Card
C20272,69,Female,Amman,Basic,14,1312.66,166.48,13,183.46,90,13,0.581,0.612,3,3,1,1,Card
C20273,50,Female,Amman,Silver,31,1672.24,109.46,15,263.55,59,350,0.544,0.466,4,1,0,1,Card
C20274,65,Male,Amman,Silver,26,2603.6,129.44,12,253.26,28,13,0.778,0.204,4,1,0,0,Digital Wallet
C20275,69,Female,Irbid,Gold,31,2104.74,333.9,23,377.01,99,18,0.568,0.226,4,1,0,1,Card
C20276,38,Female,Zarqa,Basic,17,1360.43,154.52,7,409.24,21,9,0.433,0.244,2,3,1,0,Card
C20277,56,Male,Other,Silver,18,2837.94,130.96,14,165.71,8,15,0.39,0.248,2,4,1,0,Card
C20278,31,Male,Zarqa,Basic,84,1426.54,80.09,32,171.13,3,18,0.394,0.575,4,1,0,1,Card
C20279,61,Female,Amman,Gold,56,1294.27,231.12,21,500.0,49,10,0.643,0.624,4,1,0,0,Cash
C20280,70,Male,Amman,Platinum,33,2631.1,368.01,18,500.0,21,18,0.804,0.263,5,0,0,0,Cash
C20281,36,Female,Zarqa,Gold,6,1639.25,204.38,11,114.8,7,19,0.273,0.55,2,4,1,0,Card
C20282,54,Female,Amman,Silver,12,1457.57,140.07,12,156.88,62,19,0.381,0.452,2,3,1,0,Digital Wallet
C20283,57,Male,Amman,Silver,23,2664.53,155.75,15,207.22,34,15,0.407,0.433,5,0,0,1,Digital Wallet
C20284,50,Female,Amman,Basic,11,1834.48,107.61,5,226.01,47,18,0.552,0.418,4,3,1,0,Card
C20285,19,Male,Amman,Basic,48,1497.15,175.82,15,500.0,104,18,0.464,0.381,4,1,0,0,Cash
C20286,48,Male,Other,Basic,16,2794.08,246.42,11,367.53,6,13,0.279,0.206,2,1,1,1,Digital Wallet
C20287,64,Male,Zarqa,Silver,12,2364.72,134.82,5,243.77,73,21,0.129,0.686,5,1,0,0,Card
C20288,35,Male,Amman,Basic,14,1707.36,137.76,7,197.76,78,14,0.231,0.687,4,2,0,0,Card
C20289,53,Female,Zarqa,Platinum,14,2415.08,288.82,10,352.43,25,16,0.286,0.343,2,4,1,0,Bank Transfer
C20290,46,Male,Irbid,Silver,20,2784.2,252.24,19,250.92,55,22,0.221,0.289,4,4,1,0,Cash
C20291,66,Male,Amman,Silver,23,2508.8,264.09,9,500.0,6,15,0.119,0.633,3,3,1,1,Digital Wallet
C20292,33,Female,Other,Silver,23,1471.08,269.83,16,394.81,39,14,0.284,0.137,4,1,0,1,Card
C20293,36,Female,Balqa,Silver,76,1855.76,129.61,23,402.6,11,11,0.74,0.421,2,2,1,0,Bank Transfer
C20294,37,Male,Irbid,Gold,11,1607.51,181.47,5,433.53,15,16,0.386,0.578,5,1,0,1,Card
C20295,67,Male,Amman,Basic,64,2009.72,242.63,24,500.0,18,15,0.389,0.78,5,1,0,1,Card
C20296,64,Male,Irbid,Basic,3,2658.76,293.7,6,132.71,6,12,0.331,0.539,4,0,0,1,Cash
C20297,40,Female,Amman,Gold,57,1372.85,136.27,24,300.86,50,16,0.174,0.477,4,2,0,0,Card
C20298,37,Female,Amman,Basic,22,1954.84,115.7,9,234.54,84,9,0.72,0.457,3,3,1,0,Digital Wallet
C20299,64,Female,Amman,Basic,7,2661.72,348.92,11,237.8,3,15,0.328,0.178,3,0,0,0,Cash
C20300,53,Male,Amman,Gold,44,2458.88,193.53,24,407.74,8,15,0.262,0.557,3,3,1,0,Digital Wallet
